ID,Status,Project Title,Project Headline,Project Brief (<30 words),Project Overview,Project Highlight 1,Project Highlight 2,Project Highlight 3,Project Highlight 4,Project Highlight 5,Type,Location,Size,Status
1,Core minumal content exists.,Scottsdale Autoshow,A New Standard for Automotive Retail.,"A landmark 70-acre automotive retail development on the Salt River Pima-Maricopa Indian Community, setting a new standard for automotive retailing in the Southwest.","The Scottsdale Autoshow represents Mullin360's flagship development — a 70-acre master-planned automotive retail campus located on the Salt River Pima-Maricopa Indian Community in Scottsdale, Arizona. The project brought together multiple premium franchises under a cohesive architectural vision, creating one of the most recognizable automotive destinations in the Southwest. Its success established a model for large-scale automotive park development that Mullin360 has replicated across the region.",70 acres of master-planned automotive retail,Located on Salt River Pima-Maricopa Indian Community,Multiple premium franchise brands,Landmark architectural design,Anchor development for the Scottsdale automotive corridor,Automotive Retail,"Scottsdale, AZ",70 Acres,Completed
2,Core minumal content exists.,Penske North Scottsdale,40 Acres of Premium Automotive.,"A 40-acre auto retail facility featuring 9 premium, European, and Asian franchises strategically located off the Loop 101 freeway.","The Penske North Scottsdale 101 Auto Collection is a premier automotive retail campus developed in partnership with the Penske Automotive Group. The 40-acre facility brings together nine of the world's most sought-after automotive brands in a single, cohesively designed environment.

Positioned off the Loop 101 at one of Scottsdale's highest-traffic interchanges, the development benefits from exceptional visibility and accessibility. The project exemplifies Mullin360's ability to assemble complex multi-franchise developments with demanding institutional partners.",40 acres along the Loop 101 corridor,"9 premium, European, and Asian franchises",Partnership with Penske Automotive Group,High-visibility freeway frontage,Cohesive multi-brand architectural design,Automotive Retail,"Scottsdale, AZ",40 acres,Completed
3,Core minumal content exists.,303 Autoshow,80 Acres in the Heart of Prasada.,"An 80-acre automotive retail campus integrated within the Prasada master-planned community in Surprise, Arizona, directly off the SR-303 freeway.","The 303 Autoshow is an 80-acre automotive retail campus located within the Prasada community in Surprise, Arizona. Strategically positioned along the SR-303 freeway, the development serves the rapidly growing West Valley market.

Mullin360 worked closely with the Prasada master developer to integrate the automotive campus seamlessly into the broader mixed-use community, ensuring a cohesive experience for residents and visitors alike.",80 acres within Prasada master-planned community,SR-303 freeway access and visibility,Serves the rapidly growing West Valley market,Integrated within a mixed-use community context,Multiple franchise tenants,Automotive Retail,"Surprise, AZ",80 Acres,Completed
4,Core minumal content exists.,Tempe Autoplex,A Full-Service Autoplex in Tempe.,"An 80-acre automotive retail development in Tempe, Arizona, delivering a full-service autoplex for one of the Valley's most established markets.","The Tempe Autoplex is an 80-acre automotive retail development located in the heart of the East Valley. Tempe's central location and established commercial base made it an ideal site for a large-scale automotive campus.

The development reflects Mullin360's deep expertise in entitlements, land assembly, and franchise recruitment — delivering a turnkey automotive destination for both dealers and car buyers.",80 acres in central East Valley,Full-service automotive retail campus,Strategic Tempe market positioning,Complete entitlement and development management,Multi-franchise tenant mix,Automotive,"Tempe, AZ",80 Acres,Completed
5,Core minumal content exists.,Riverside Country Auto Park,Coming to Riverside County.,"A major automotive retail park currently under development in Riverside County, California. Dealership inquiries are now open.","The Riverside County Auto Park marks Mullin360's expansion into the California market. Riverside County is one of the fastest-growing regions in Southern California, offering significant demand for premium automotive retail.

The project is currently in the development phase. Mullin360 is actively working through entitlements and seeking dealership partners to anchor the campus. Qualified franchises are encouraged to inquire",Expanding into the California market,Riverside County — one of SoCal's fastest-growing regions,Currently in development and entitlement phase,Dealership inquiries actively open,Premium franchise opportunities available,Automotive,"Riverside County, CA",70 Acres,Coming Soon
6,Core minumal content exists.,The Art at MMR,Boutique Retail at McDowell Mountain Ranch.,"A stylized 15,000 square foot retail development in the heart of McDowell Mountain Ranch, bringing curated boutique retail to one of Scottsdale's premier master-planned communities.","The Art at MMR is a 15,000 square foot retail development located within the McDowell Mountain Ranch community in Scottsdale — one of the Valley's most desirable master-planned neighborhoods.

The project was designed to bring a curated mix of boutique retail, dining, and service uses to a high-income, underserved residential community. The architecture reflects the character of the surrounding landscape, with a distinctive design vocabulary that sets it apart from conventional strip retail.","15,000 sq ft boutique retail center",Located within McDowell Mountain Ranch,"Curated tenant mix — retail, dining, and service",Distinctive architectural design,"Serves an affluent, established residential community",Boutique Retail,"McDowell Mountain Ranch, AZ","15,000 Sq Ft",Completed
7,Core minumal content exists.,Greencastle Hotel ,Restoring History into Luxury.,"A historic hotel in Greencastle, Indiana — previously repurposed as a bank — being transformed into a luxury boutique hospitality destination.","The Greencastle Hotel is a historic adaptive reuse project in Greencastle, Indiana. The building, which was previously converted into a bank after its original use as a hotel, is being transformed back into its hospitality roots as a luxury boutique hotel.

Mullin360's approach emphasizes preserving the building's original architectural character while introducing modern luxury amenities. The project reflects the firm's expanding portfolio beyond automotive retail into high-character hospitality and mixed-use development.



",Historic adaptive reuse — original hotel restored,Previously repurposed as a bank,Being transformed into luxury boutique hotel,Preserving original architectural character,Mullin360's entry into boutique hospitality,Boutique Hospitality,"Greencastle, IN",-,Coming Soon
8,Core minumal content exists.,Casa Grande Auto Show Autoplex,Coming Soon to Casa Grande.,"A major new automotive retail campus coming soon to Casa Grande, Arizona — serving the growing corridor between Phoenix and Tucson.","The Casa Grande Auto Show Autoplex will bring Mullin360's proven automotive campus model to one of Arizona's fastest-growing markets. Casa Grande sits at the strategic midpoint between Phoenix and Tucson, with significant population growth and strong automotive demand.

Details on franchise opportunities and the project timeline will be announced. Interested parties are encouraged to reach out for preliminary discussions.",Serves the Phoenix–Tucson corridor,Casa Grande — one of Arizona's fastest-growing markets,Mullin360's proven autoplex model,Franchise opportunities to be announced,Details coming soon,Automotive Retail,"Casa Grande, AZ",30 acres,Completed
9,Core minumal content exists.,Costco,Coming Soon to Scotsdale,"This 162,000-square-foot Scottsdale-area store is comint to Salt River Pima-Maricopa land creating 250 jobs and boosting tax revenue near the tribe’s auto dealerships.","The Salt River Costco at the Scottsdale Auto Show will introduce a high-profile retail anchor to one of the region’s most established automotive corridors. Located near Loop 101 and Indian School Road, the project strengthens the Salt River Pima-Maricopa Indian Community’s position as a premier destination for automotive and retail development, while building on Mullin360’s long-standing development relationship with the Community.

Planned as a major infill development, the new Costco warehouse will complement the existing dealership campus, expand regional draw, and support continued growth throughout the surrounding area. ",Prime Scottsdale infill location,Major regional anchor tenant,Long-term ground lease structure,Catalyst for broader district growth,Nationally recognized retail destination,Retail,"Scottsdale, AZ","162,000 sq. ft",Coming Soon
10,Core minumal content exists.,Centerra,Largest automotive center in Northern Colorado,"Motorplex at Centerra in Loveland brings top dealers together off I-25, offering Northern Colorado’s largest selection of new and used vehicles in one convenient, test-drive-friendly auto lifestyle center.","Car shoppers have traditionally had to drive from dealership to dealership in order to find a great vehicle
purchase, a time consuming and inconvenient process. The Motorplex at Centerra offers a unique concept in
Northern Colorado; a congregation of top-quality dealers near a busy interstate with hundreds of different
makes and models ready to test-drive in one stop.

Located off Interstate 25 and Crossroads Boulevard, the Motorplex at Centerra is an auto lifestyle center
providing the largest selection of new and used cars in Northern Colorado.
This 100-acre auto park is part of Centerra, an award-winning 3,000-acre master-planned community in
Loveland, located at the heart of Northern Colorado’s major transportation corridor.",Largest automotive center in Northern Colorado,Excellent visibility from Interstate 25,Various lot sizes available with build-to-suit options,"Positioned near top employers, a regional hospital, health club and the premier retail destination",Offers a convenient“one-stop” automotive shopping experience for sales and service,Automotive Retail,"Loveland, CO",100 Acres,Completed